transaction_id,investor_id,scheme_code,transaction_type,transaction_date,amount,nav_at_transaction,units
TXN159642,INV0131,118778,Purchase,2021-01-31,1000,152.1011,6.5746
TXN171262,INV0173,120503,Redemption,2023-07-12,10000,76.7305,130.3263
TXN358175,INV0149,120503,Switch Out,2019-06-12,10000,164.1318,60.9266
TXN539589,INV0169,119364,Switch Out,2024-11-11,500,175.271,2.8527
TXN314181,INV0172,125497,SIP,2021-09-04,2500,186.5148,13.4038
TXN237235,INV0172,120841,SIP,2024-02-16,5000,57.4061,87.0988
TXN176066,INV0003,125497,Switch In,2020-02-14,50000,81.667,612.2424
TXN323508,INV0130,120503,SIP,2020-06-26,10000,176.2601,56.7343
TXN356150,INV0095,125497,SIP,2020-10-08,500,63.7518,7.8429
TXN669605,INV0181,120465,SIP,2024-12-06,50000,30.5896,1634.5425
TXN956795,INV0142,119551,SIP,2020-02-29,25000,178.0406,140.4174
TXN221035,INV0028,118632,Switch Out,2020-09-28,2500,85.4964,29.241
TXN734210,INV0054,120841,SIP,2021-04-13,2500,100.4646,24.8844
TXN612262,INV0065,120841,Purchase,2020-01-14,10000,105.8768,94.4494
TXN390120,INV0012,118989,Purchase,2022-09-28,50000,174.2067,287.0154
TXN374680,INV0042,118632,Switch In,2023-10-18,25000,87.4417,285.9048
TXN217308,INV0020,118778,Redemption,2019-05-28,500,181.6876,2.752
TXN679364,INV0038,125497,Switch In,2020-06-06,10000,134.8797,74.1401
TXN482364,INV0011,119551,SIP,2021-05-10,2500,119.6387,20.8962
TXN207786,INV0091,119092,Switch Out,2023-07-23,25000,85.3545,292.8961
TXN262060,INV0061,119364,Redemption,2020-12-26,25000,71.431,349.9881
TXN288073,INV0189,118989,SIP,2023-08-14,500,136.0899,3.674
TXN266931,INV0180,119092,Purchase,2023-04-16,2500,105.972,23.5911
TXN593554,INV0057,119551,Redemption,2024-02-29,50000,184.7877,270.5808
TXN960394,INV0059,125497,Redemption,2019-04-07,2500,113.5786,22.0112
TXN444207,INV0072,119092,Purchase,2022-02-17,5000,117.0051,42.7332
TXN634150,INV0103,125497,Switch Out,2022-09-18,25000,100.843,247.9101
TXN373903,INV0046,119551,Switch Out,2021-12-23,500,164.1747,3.0455
TXN725550,INV0112,119551,SIP,2022-07-08,500,102.2227,4.8913
TXN636265,INV0030,118989,Switch In,2021-02-17,10000,75.7881,131.9468
TXN843215,INV0112,120841,Purchase,2024-10-30,500,176.5452,2.8321
TXN854377,INV0190,118778,Redemption,2023-01-31,25000,131.4608,190.1708
TXN796503,INV0085,118989,Switch Out,2022-07-09,500,130.5567,3.8298
TXN414910,INV0130,120503,SIP,2023-07-31,25000,133.8398,186.7905
TXN831076,INV0076,125497,Switch Out,2020-06-05,5000,152.2028,32.8509
TXN797229,INV0098,119092,Redemption,2022-05-17,5000,83.2216,60.0806
TXN974224,INV0001,118989,SIP,2022-03-21,10000,35.7535,279.6929
TXN923927,INV0149,119092,Switch Out,2022-08-12,5000,167.8008,29.7972
TXN563638,INV0173,120465,Redemption,2024-09-24,5000,51.9139,96.3133
TXN934692,INV0189,120465,Redemption,2019-12-14,50000,152.7094,327.4193
TXN796101,INV0163,120841,Switch Out,2022-10-04,10000,43.9936,227.3058
TXN887625,INV0061,120503,SIP,2021-07-09,50000,93.8023,533.036
TXN125611,INV0012,119092,Redemption,2024-04-30,1000,40.7144,24.5613
TXN905819,INV0019,119364,Switch In,2023-08-25,50000,118.7763,420.9594
TXN853240,INV0179,119364,Switch In,2024-07-17,1000,141.0331,7.0905
TXN254739,INV0168,118989,Purchase,2020-03-12,1000,59.1436,16.908
TXN284430,INV0179,118989,Switch Out,2024-03-17,1000,93.1767,10.7323
TXN361303,INV0032,119551,Switch In,2020-06-30,10000,188.1407,53.1517
TXN656932,INV0144,120465,Switch Out,2022-07-23,25000,105.2061,237.6288
TXN954596,INV0185,120465,Switch Out,2023-10-14,10000,166.4324,60.0845
TXN266889,INV0191,118778,Switch In,2024-01-18,5000,187.6214,26.6494
TXN359249,INV0164,120841,SIP,2024-11-05,50000,195.6388,255.573
TXN350867,INV0071,120465,Switch In,2019-11-14,25000,182.7147,136.8253
TXN384913,INV0086,120841,SIP,2019-11-27,1000,83.9589,11.9106
TXN342495,INV0099,118632,Redemption,2021-05-26,1000,193.6374,5.1643
TXN527398,INV0085,120503,Switch Out,2024-03-23,5000,168.1072,29.7429
TXN316881,INV0108,118989,Switch In,2019-03-22,500,172.3198,2.9016
TXN600149,INV0002,119364,SIP,2022-05-08,5000,32.5794,153.4712
TXN976325,INV0108,118989,Switch Out,2021-06-22,50000,192.2206,260.1178
TXN386193,INV0112,120465,Switch In,2019-04-29,1000,162.2753,6.1624
TXN801364,INV0174,118989,Switch In,2020-11-07,2500,160.5545,15.571
TXN752483,INV0137,120465,Purchase,2023-06-02,1000,43.8592,22.8002
TXN795205,INV0007,119364,Purchase,2023-10-22,10000,69.5367,143.809
TXN584125,INV0047,118632,Purchase,2021-12-01,50000,193.5845,258.2851
TXN321941,INV0117,118989,SIP,2022-10-14,2500,115.1151,21.7174
TXN888539,INV0108,118989,SIP,2019-12-02,2500,97.6359,25.6053
TXN885408,INV0139,120465,Purchase,2022-12-04,500,172.7899,2.8937
TXN171951,INV0200,119092,Purchase,2019-05-08,25000,44.8479,557.4397
TXN979995,INV0006,119092,Switch Out,2020-09-16,1000,100.8801,9.9128
TXN596564,INV0172,119092,Purchase,2021-06-11,1000,93.8691,10.6531
TXN368690,INV0197,120465,SIP,2020-11-18,25000,89.4747,279.4086
TXN884256,INV0184,119364,Purchase,2020-11-01,10000,82.3077,121.4953
TXN706794,INV0007,120841,SIP,2023-03-18,500,65.7127,7.6089
TXN307963,INV0020,118989,Switch Out,2021-09-21,25000,59.3948,420.9123
TXN910004,INV0078,120503,Switch Out,2020-05-10,25000,138.869,180.0258
TXN143064,INV0089,119364,Switch Out,2023-10-21,50000,186.2971,268.3885
TXN630538,INV0166,125497,SIP,2019-02-21,500,116.5048,4.2917
TXN614013,INV0028,118989,Switch In,2023-01-23,50000,80.6557,619.919
TXN260422,INV0112,120465,Redemption,2024-11-07,25000,57.0572,438.1568
TXN947458,INV0138,120841,Switch In,2024-03-19,10000,171.1244,58.437
TXN866536,INV0152,118989,SIP,2022-08-13,50000,195.1536,256.2084
TXN190872,INV0072,119092,Switch In,2021-09-25,50000,89.3564,559.557
TXN739979,INV0172,120465,Switch In,2022-10-09,10000,79.4616,125.8469
TXN992288,INV0084,119551,Redemption,2024-06-20,5000,132.2538,37.8061
TXN936587,INV0067,119092,SIP,2022-02-19,2500,161.8059,15.4506
TXN389688,INV0143,119364,Purchase,2024-10-17,25000,107.4185,232.7346
TXN353080,INV0185,119092,Switch In,2024-06-24,500,137.1124,3.6466
TXN351997,INV0177,118778,Switch In,2024-07-03,50000,151.8133,329.3519
TXN118080,INV0024,120465,SIP,2021-06-26,50000,193.3007,258.6644
TXN355123,INV0079,118989,Switch Out,2023-02-20,25000,58.0563,430.6165
TXN656711,INV0089,120465,Switch In,2022-09-16,10000,199.555,50.1115
TXN575786,INV0070,125497,SIP,2021-10-26,25000,96.6666,258.6209
TXN856321,INV0050,119092,SIP,2020-05-04,500,152.944,3.2692
TXN823688,INV0048,118778,Redemption,2021-06-05,50000,127.3104,392.7409
TXN859782,INV0151,120465,Switch Out,2022-03-05,2500,112.7337,22.1762
TXN303547,INV0076,120503,Redemption,2023-01-18,50000,148.6728,336.309
TXN114835,INV0182,118632,Switch Out,2020-06-02,2500,97.2782,25.6995
TXN157174,INV0142,120841,SIP,2020-06-01,500,51.4387,9.7203
TXN112861,INV0147,120465,SIP,2024-04-06,500,113.1119,4.4204
TXN457256,INV0048,120465,Purchase,2021-10-31,5000,118.7257,42.1139
TXN962050,INV0017,120465,Switch In,2024-07-07,500,64.3234,7.7732
TXN760021,INV0176,120503,Purchase,2020-09-13,10000,189.0553,52.8946
TXN690180,INV0078,118632,Purchase,2021-10-13,50000,68.6709,728.1105
TXN901577,INV0107,120503,Switch Out,2021-07-13,10000,99.5687,100.4332
TXN572398,INV0114,118778,SIP,2023-10-23,5000,56.338,88.75
TXN751194,INV0016,120841,Switch Out,2020-02-11,10000,121.0854,82.5863
TXN321275,INV0068,119092,Purchase,2020-10-05,25000,82.2984,303.7726
TXN678805,INV0020,119092,Redemption,2019-01-11,1000,113.1763,8.8358
TXN822858,INV0153,118989,Switch In,2022-04-07,5000,68.1849,73.33
TXN402099,INV0181,119551,SIP,2024-02-03,1000,39.1418,25.5481
TXN344762,INV0068,120503,Switch Out,2021-03-21,25000,162.4685,153.876
TXN671015,INV0058,118989,Redemption,2021-12-24,500,138.9847,3.5975
TXN162535,INV0043,118632,SIP,2022-03-28,500,87.9257,5.6866
TXN591465,INV0177,120465,SIP,2023-07-07,500,38.074,13.1323
TXN666211,INV0127,120841,Switch In,2019-11-26,10000,177.1478,56.45
TXN553014,INV0189,119364,SIP,2021-10-22,500,58.8652,8.494
TXN340044,INV0173,119551,Switch Out,2019-03-26,500,188.2262,2.6564
TXN142185,INV0196,120841,Redemption,2024-04-11,10000,111.3612,89.7979
TXN563711,INV0072,118778,Redemption,2023-11-21,25000,87.8657,284.5251
TXN592841,INV0090,120465,Switch In,2022-09-27,500,156.0991,3.2031
TXN209680,INV0042,125497,SIP,2023-08-14,25000,179.0627,139.6159
TXN794769,INV0103,120465,Switch Out,2019-05-31,2500,93.0213,26.8756
TXN429795,INV0065,120465,SIP,2020-04-19,500,99.2484,5.0379
TXN639593,INV0001,118989,Switch Out,2024-03-07,50000,103.6369,482.4536
TXN296694,INV0133,118989,SIP,2024-08-03,500,186.7949,2.6767
TXN154118,INV0053,120465,SIP,2020-06-20,50000,147.7359,338.4418
TXN832168,INV0125,120841,Purchase,2019-04-29,5000,72.0998,69.3483
TXN350921,INV0182,119364,Redemption,2022-06-26,50000,61.4499,813.671
TXN679077,INV0105,118778,Purchase,2021-07-09,500,69.1625,7.2294
TXN223172,INV0166,120503,Redemption,2024-08-03,5000,74.8059,66.8396
TXN839677,INV0070,120841,Switch In,2024-05-30,10000,69.1312,144.6525
TXN578975,INV0142,120465,Redemption,2023-04-21,1000,141.9461,7.0449
TXN632929,INV0192,119092,Redemption,2019-10-13,10000,49.7087,201.172
TXN928381,INV0107,120841,SIP,2024-09-10,50000,95.8509,521.6435
TXN102689,INV0073,120841,SIP,2024-06-28,50000,136.2591,366.948
TXN664742,INV0124,118632,SIP,2022-09-23,5000,79.4462,62.9357
TXN669827,INV0097,118778,Switch In,2022-08-11,50000,41.0966,1216.6457
TXN350405,INV0147,119092,Switch In,2021-08-14,25000,43.9101,569.3451
TXN433632,INV0191,118989,Switch In,2023-04-11,500,51.4144,9.7249
TXN930884,INV0167,118989,Redemption,2024-07-21,25000,172.0933,145.27
TXN626690,INV0152,119551,SIP,2020-02-16,1000,141.8368,7.0504
TXN651499,INV0117,120465,Purchase,2020-08-13,500,40.9688,12.2044
TXN786587,INV0040,118989,Purchase,2024-04-07,50000,96.4817,518.233
TXN753534,INV0178,120841,Switch In,2019-11-25,2500,77.3595,32.3167
TXN807115,INV0137,125497,Switch In,2022-07-21,50000,128.2668,389.8125
TXN667296,INV0010,120465,Switch Out,2019-10-08,50000,118.877,420.6028
TXN817644,INV0074,119092,Redemption,2020-01-06,25000,111.7911,223.6314
TXN897305,INV0163,118989,Purchase,2023-12-23,500,83.4671,5.9904
TXN414012,INV0008,118632,Purchase,2022-08-21,25000,53.426,467.937
TXN475876,INV0096,119551,Switch In,2020-08-19,2500,156.204,16.0047
TXN532067,INV0145,119092,Redemption,2020-11-27,10000,179.5757,55.6868
TXN739098,INV0098,118632,Switch Out,2021-09-13,500,190.5057,2.6246
TXN250069,INV0060,120465,Switch In,2021-11-06,10000,39.9652,250.2177
TXN799233,INV0003,120465,Switch In,2022-03-24,2500,155.7845,16.0478
TXN177449,INV0114,118778,SIP,2022-05-10,1000,153.5056,6.5144
TXN362246,INV0117,118989,SIP,2021-03-26,25000,191.0086,130.8842
TXN606680,INV0028,118989,Redemption,2023-04-12,50000,72.9955,684.9737
TXN702733,INV0076,119364,SIP,2019-03-31,2500,156.1704,16.0082
TXN108491,INV0145,118989,Purchase,2024-07-27,2500,39.2865,63.6351
TXN937665,INV0059,120841,Switch Out,2022-12-14,50000,137.3118,364.1348
TXN299367,INV0159,119092,SIP,2020-07-14,25000,89.6441,278.8806
TXN777737,INV0011,120503,SIP,2023-12-11,25000,160.7146,155.5553
TXN482584,INV0188,119551,Redemption,2020-01-05,10000,176.7617,56.5733
TXN883790,INV0107,120841,Redemption,2021-04-02,2500,92.0196,27.1681
TXN665610,INV0094,118632,Switch Out,2024-08-17,50000,119.3496,418.9373
TXN272537,INV0066,120841,Switch In,2022-04-23,50000,49.9587,1000.8267
TXN220764,INV0120,125497,Purchase,2020-07-30,50000,100.8742,495.6669
TXN809176,INV0186,119092,Switch In,2023-02-07,50000,91.3361,547.4287
TXN513741,INV0004,120503,SIP,2020-05-21,50000,61.131,817.9156
TXN805511,INV0192,120465,SIP,2023-04-10,2500,182.0614,13.7316
TXN807617,INV0060,125497,Switch In,2019-04-13,500,55.1749,9.0621
TXN443939,INV0157,119364,Redemption,2019-09-16,10000,138.0757,72.424
TXN416869,INV0167,120465,Switch In,2020-04-22,25000,181.3242,137.8746
TXN139019,INV0078,118632,Switch In,2020-04-20,500,185.0347,2.7022
TXN663658,INV0035,120503,Switch In,2024-02-02,1000,164.8507,6.0661
TXN879238,INV0179,125497,Switch Out,2023-09-13,25000,59.944,417.0559
TXN861894,INV0040,119364,Switch In,2020-02-10,25000,168.9633,147.9611
TXN527940,INV0072,120465,Purchase,2023-02-26,10000,77.016,129.8431
TXN566297,INV0061,119092,SIP,2020-02-11,5000,186.8077,26.7655
TXN776149,INV0092,125497,Purchase,2023-06-19,10000,150.5447,66.4255
TXN228093,INV0117,120841,Purchase,2021-05-18,1000,163.4955,6.1164
TXN153035,INV0086,119364,Redemption,2020-05-30,500,44.4555,11.2472
TXN171942,INV0196,119364,Switch Out,2021-04-28,1000,129.0701,7.7477
TXN952547,INV0060,119364,SIP,2020-08-27,1000,169.5942,5.8964
TXN390743,INV0038,119364,Redemption,2021-10-23,500,176.4704,2.8333
TXN793169,INV0007,118632,Redemption,2019-03-02,500,34.8674,14.34
TXN926730,INV0061,125497,Switch Out,2022-08-19,50000,189.6571,263.6337
TXN378258,INV0014,119551,Redemption,2023-09-21,1000,37.3676,26.7612
TXN881886,INV0017,118778,Switch In,2024-01-11,500,134.4682,3.7184
TXN722503,INV0028,125497,Switch In,2024-08-25,10000,147.8759,67.6243
TXN145471,INV0187,119092,Switch Out,2022-05-20,10000,48.2487,207.2595
TXN132663,INV0016,120465,Switch In,2023-07-04,25000,38.162,655.1019
TXN213206,INV0126,118989,Switch In,2019-10-29,25000,163.4351,152.9659
TXN737846,INV0038,120503,Purchase,2020-05-31,2500,95.394,26.2071
TXN763829,INV0150,120841,Switch Out,2022-08-24,10000,48.2091,207.4297
TXN656329,INV0076,118989,Switch In,2024-09-01,10000,159.6535,62.6356
TXN203996,INV0180,119364,Purchase,2021-05-30,5000,174.3577,28.6767
TXN339592,INV0106,118989,SIP,2024-02-01,5000,129.8557,38.5043
TXN865054,INV0025,118989,SIP,2023-10-15,5000,57.4103,87.0924
TXN367271,INV0096,125497,Redemption,2024-04-26,25000,32.5878,767.1583
TXN972176,INV0022,120503,Purchase,2023-11-04,500,149.1364,3.3526
TXN874683,INV0096,120503,Redemption,2019-09-03,25000,123.5237,202.3903
TXN688967,INV0085,119364,Purchase,2023-08-10,10000,140.6355,71.1058
TXN797660,INV0193,125497,Switch In,2019-07-30,50000,168.2414,297.192
TXN427626,INV0091,120841,Purchase,2024-09-09,10000,103.8187,96.3218
TXN788637,INV0124,119092,Redemption,2020-03-19,1000,51.1676,19.5436
TXN683286,INV0095,125497,Purchase,2022-02-15,50000,189.7972,263.4391
TXN946432,INV0110,119364,Switch Out,2019-04-18,1000,122.6946,8.1503
TXN969752,INV0178,119364,SIP,2019-04-29,25000,134.6,185.7355
TXN836833,INV0196,118632,SIP,2022-10-23,2500,188.6799,13.25
TXN290217,INV0037,125497,Switch Out,2023-06-30,500,188.3692,2.6544
TXN876962,INV0163,120503,Purchase,2020-01-11,1000,127.2561,7.8582
TXN494468,INV0108,118778,Switch In,2022-10-28,1000,80.5939,12.4079
TXN426775,INV0185,118632,SIP,2019-12-14,2500,199.5093,12.5307
TXN265056,INV0194,119551,Switch Out,2019-07-23,1000,145.7389,6.8616
TXN564637,INV0170,120503,Switch In,2024-06-12,2500,99.4342,25.1423
TXN534303,INV0070,119364,Redemption,2024-09-29,5000,125.1723,39.9449
TXN550797,INV0029,120503,SIP,2024-06-16,2500,100.6918,24.8282
TXN423401,INV0012,118778,Redemption,2023-06-07,25000,181.0119,138.1125
TXN108060,INV0053,119364,SIP,2021-05-15,500,112.0249,4.4633
TXN367931,INV0075,118632,SIP,2020-05-06,50000,169.9998,294.118
TXN883301,INV0111,119551,Redemption,2020-06-13,5000,172.83,28.9302
TXN837852,INV0059,118989,Switch Out,2022-12-21,10000,170.1365,58.7763
TXN878086,INV0011,120503,Switch In,2019-03-18,5000,152.7721,32.7285
TXN428267,INV0148,120465,Switch In,2023-07-15,500,175.3292,2.8518
TXN220768,INV0104,118989,Purchase,2022-08-23,2500,95.829,26.0881
TXN748151,INV0118,118632,SIP,2019-12-27,50000,49.4927,1010.25
TXN211005,INV0063,118989,Switch In,2023-06-29,50000,173.2172,288.6549
TXN514991,INV0080,118778,SIP,2021-06-26,500,114.6886,4.3596
TXN276299,INV0020,125497,Switch Out,2020-04-12,50000,51.6539,967.9811
TXN303322,INV0199,118778,SIP,2022-12-09,10000,49.6031,201.6003
TXN207798,INV0038,118632,SIP,2021-03-19,1000,57.0712,17.522
TXN260295,INV0195,118632,Purchase,2020-12-26,10000,157.6655,63.4254
TXN891093,INV0145,120465,Switch Out,2024-01-13,5000,150.8456,33.1465
TXN766158,INV0160,119364,SIP,2022-07-18,25000,64.6492,386.7024
TXN171603,INV0121,118632,Switch In,2022-05-25,5000,173.977,28.7394
TXN158900,INV0091,120841,Switch Out,2019-10-31,10000,77.8201,128.5015
TXN573866,INV0010,120841,Purchase,2023-02-19,5000,164.8075,30.3384
TXN775981,INV0024,120841,Switch Out,2024-09-07,500,113.097,4.421
TXN708519,INV0142,118989,Purchase,2024-01-17,5000,154.3633,32.3911
TXN297383,INV0083,119364,Switch Out,2024-05-02,25000,94.8359,263.6133
TXN164879,INV0116,118778,Purchase,2022-11-07,1000,89.0139,11.2342
TXN777513,INV0045,120503,Purchase,2021-10-11,10000,173.0311,57.7931
TXN649525,INV0134,120465,Switch Out,2020-10-12,5000,36.0014,138.8835
TXN396635,INV0100,125497,Switch In,2022-10-17,2500,195.7053,12.7743
TXN927564,INV0162,119364,SIP,2019-09-27,500,140.1905,3.5666
TXN685066,INV0174,125497,Switch In,2022-03-09,500,103.5222,4.8299
TXN992931,INV0169,120841,Switch Out,2020-09-07,25000,136.7693,182.7896
TXN711046,INV0170,125497,Redemption,2022-12-03,500,50.866,9.8297
TXN832409,INV0170,120841,Switch In,2020-06-12,25000,117.3889,212.9673
TXN188834,INV0080,119364,Switch Out,2023-03-23,25000,197.4662,126.6039
TXN234001,INV0172,125497,Switch Out,2020-01-18,50000,69.9958,714.3286
TXN479404,INV0005,118989,SIP,2022-06-19,10000,152.7873,65.4505
TXN458332,INV0197,118632,Switch In,2021-02-25,1000,103.9451,9.6205
TXN262471,INV0020,119092,SIP,2020-02-19,1000,140.9179,7.0963
TXN665990,INV0190,118778,Switch Out,2019-06-04,50000,64.8308,771.2384
TXN748052,INV0034,125497,Switch Out,2023-03-24,50000,109.979,454.6322
TXN289630,INV0178,118632,Switch Out,2020-11-09,1000,196.6158,5.0861
TXN530816,INV0094,120465,Redemption,2023-12-25,500,63.1988,7.9115
TXN888939,INV0192,119364,Switch In,2021-08-16,2500,138.1957,18.0903
TXN424500,INV0121,118778,Redemption,2023-02-15,1000,127.8516,7.8216
TXN584106,INV0197,119364,SIP,2023-04-14,5000,126.0588,39.664
TXN538997,INV0042,118778,Redemption,2020-07-20,10000,134.571,74.3102
TXN772324,INV0124,120841,SIP,2020-02-25,500,115.3805,4.3335
TXN230734,INV0073,118778,Purchase,2020-10-18,50000,32.8782,1520.7645
TXN638289,INV0038,120841,Switch In,2020-01-11,5000,183.0165,27.3199
TXN573041,INV0090,119092,Purchase,2023-08-27,50000,170.5864,293.1066
TXN626392,INV0096,119551,Redemption,2023-05-01,5000,59.6085,83.8807
TXN335445,INV0008,120503,SIP,2020-02-10,2500,100.2564,24.9361
TXN253143,INV0036,125497,Purchase,2022-03-21,50000,160.9933,310.5719
TXN971482,INV0036,120465,Switch In,2024-01-12,25000,196.6106,127.1549
TXN183074,INV0005,119364,SIP,2021-06-02,500,191.6933,2.6083
TXN862560,INV0156,118632,Switch Out,2023-09-30,10000,182.8911,54.6773
TXN402096,INV0061,120503,SIP,2020-05-14,50000,56.9236,878.3703
TXN540218,INV0164,119551,Switch Out,2024-02-16,1000,185.4608,5.392
TXN977330,INV0128,120503,Switch Out,2019-03-09,500,179.3356,2.7881
TXN353690,INV0184,118778,Redemption,2022-04-08,10000,94.0815,106.2908
TXN744674,INV0091,118989,Redemption,2023-09-03,500,97.0688,5.151
TXN800674,INV0022,118632,Switch Out,2023-01-17,25000,108.1845,231.0867
TXN670511,INV0130,120503,Switch Out,2019-03-25,10000,141.5499,70.6465
TXN592972,INV0012,118989,Switch In,2023-03-10,50000,74.3421,672.5664
TXN117031,INV0092,120841,Purchase,2022-11-13,25000,33.9012,737.437
TXN789023,INV0161,119092,Purchase,2022-09-23,25000,54.009,462.8858
TXN469412,INV0140,118632,SIP,2020-12-18,500,104.8197,4.7701
TXN601776,INV0162,120465,Redemption,2020-07-06,25000,77.9404,320.7579
TXN913894,INV0118,120503,Purchase,2022-04-16,25000,159.9678,156.2815
TXN929538,INV0052,119092,Purchase,2022-07-16,500,48.1373,10.387
TXN517568,INV0140,120841,Switch In,2021-11-03,10000,185.9691,53.7724
TXN778324,INV0049,119551,SIP,2023-01-02,50000,182.2056,274.4153
TXN787584,INV0085,119551,SIP,2020-05-24,50000,184.4887,271.0193
TXN519453,INV0191,125497,Switch In,2023-05-03,5000,155.7337,32.1061
TXN620306,INV0178,125497,Switch In,2023-02-13,1000,48.19,20.7512
TXN940064,INV0022,118778,Switch In,2019-11-20,2500,104.4834,23.9272
TXN962287,INV0047,118989,Switch Out,2022-04-18,10000,52.3389,191.0625
TXN183958,INV0084,125497,SIP,2022-06-09,500,197.9089,2.5264
TXN852524,INV0110,120465,Redemption,2023-12-24,10000,86.6165,115.4514
TXN144412,INV0187,125497,SIP,2023-11-17,5000,129.5062,38.6082
TXN929924,INV0015,120841,Purchase,2023-07-22,25000,162.4968,153.8492
TXN940010,INV0192,125497,Redemption,2019-05-08,10000,186.5047,53.618
TXN737086,INV0174,118632,Switch In,2019-05-23,50000,158.4431,315.5707
TXN347459,INV0200,118632,SIP,2023-01-23,500,144.6656,3.4562
TXN133958,INV0155,118989,Redemption,2024-01-17,10000,109.2169,91.5609
TXN565504,INV0196,125497,Purchase,2020-07-17,2500,132.918,18.8086
TXN517368,INV0081,118778,SIP,2021-10-19,2500,46.0078,54.3386
TXN871411,INV0048,120503,Switch In,2024-10-21,500,180.2668,2.7737
TXN223481,INV0068,118989,SIP,2024-01-02,10000,122.4421,81.6713
TXN399449,INV0178,119092,Switch In,2021-03-30,10000,36.823,271.5694
TXN994253,INV0019,120503,Switch In,2020-12-08,1000,186.3834,5.3653
TXN949884,INV0175,120465,SIP,2022-11-24,500,113.1813,4.4177
TXN668507,INV0075,120503,SIP,2020-10-07,10000,177.6602,56.2872
TXN479052,INV0131,118632,Redemption,2020-05-12,50000,175.671,284.623
TXN245622,INV0061,119092,Switch In,2019-04-18,50000,168.6778,296.4231
TXN700076,INV0095,125497,Switch In,2020-06-15,10000,40.4385,247.2891
TXN168941,INV0080,119364,Switch In,2024-05-14,500,72.0013,6.9443
TXN906527,INV0105,118778,Switch Out,2019-10-30,5000,178.8431,27.9575
TXN773540,INV0019,118632,Switch In,2024-03-23,2500,182.8285,13.674
TXN234568,INV0200,118778,Switch Out,2021-01-15,2500,107.8717,23.1757
TXN627290,INV0015,118632,Purchase,2024-10-23,5000,104.807,47.7067
TXN272655,INV0042,118632,SIP,2021-07-12,2500,59.7739,41.8243
TXN397846,INV0021,125497,SIP,2021-03-15,10000,194.6298,51.3796
TXN231250,INV0161,118778,SIP,2024-12-25,2500,66.2335,37.7452
TXN772124,INV0044,120503,Switch Out,2020-09-23,10000,62.4593,160.1043
TXN754813,INV0185,118632,Switch Out,2022-10-14,25000,142.3239,175.6557
TXN965322,INV0008,119364,Purchase,2019-07-06,500,71.2835,7.0142
TXN782759,INV0054,119364,Switch Out,2023-09-03,2500,189.5912,13.1863
TXN131757,INV0128,119364,Switch Out,2022-04-01,25000,31.8542,784.8259
TXN356773,INV0176,120841,Switch In,2022-05-03,5000,30.9781,161.4043
TXN822063,INV0016,120465,Redemption,2023-12-06,500,115.8291,4.3167
TXN587002,INV0053,118989,SIP,2020-08-11,5000,112.9706,44.2593
TXN853258,INV0082,125497,SIP,2023-06-22,50000,57.7719,865.4727
TXN488539,INV0132,118632,Switch Out,2020-03-10,50000,114.0683,438.3339
TXN589131,INV0032,125497,SIP,2024-01-16,1000,99.9824,10.0018
TXN201514,INV0013,119092,SIP,2023-04-23,1000,181.356,5.514
TXN360330,INV0041,119364,SIP,2022-07-04,5000,31.5732,158.3622
